devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
ण,ṇa,Ra,65858,0.4597,13848,18062,16019,12837,5062
दे,de,de,62965,0.4395,18893,14759,14082,10333,4891
दा,dā,dA,62221,0.4343,9107,20166,16241,11873,4815
पि,pi,pi,60844,0.4247,7188,17388,17911,13858,4483
तः,taḥ,taH,59628,0.4162,7528,21242,15255,11603,3996
हा,hā,hA,59516,0.4154,8378,25331,13039,8457,4299
तु,tu,tu,59199,0.4132,9039,17714,14596,12728,5107
ष,ṣa,za,56911,0.3972,15467,14672,12818,10607,3335
दि,di,di,56908,0.3972,12135,13346,13066,13879,4474
रि,ri,ri,56661,0.3955,12480,16220,13858,10232,3853
सु,su,su,56658,0.3955,11437,20152,12546,9342,3168
ध,dha,Da,55391,0.3866,8009,23771,11463,8972,3158
ये,ye,ye,54917,0.3833,13052,10881,11632,14578,4769
रु,ru,ru,51892,0.3622,13349,13886,12235,9335,3075
था,thā,TA,50525,0.3527,7164,18856,12253,8469,3774
त्र,tra,tra,49926,0.3485,8437,15025,11822,10257,4369
वे,ve,ve,49727,0.3471,11970,13785,10363,10018,3580
यो,yo,yo,49053,0.3424,9925,13493,12382,9947,3296
तं,taṃ,taM,48527,0.3387,8072,15371,10281,10664,4112
हि,hi,hi,47684,0.3328,11852,15408,9951,7682,2780
जा,jā,jA,47151,0.3291,12718,14238,8876,8548,2768
कृ,kṛ,kf,46875,0.3272,7828,15163,11387,9010,3481
तो,to,to,46352,0.3235,7677,16489,10614,8363,3201
भि,bhi,Bi,44784,0.3126,13229,14041,9816,5445,2240
मु,mu,mu,44250,0.3089,5529,13027,12357,9463,3866
मे,me,me,43542,0.3039,9917,13053,9488,7957,3120
मि,mi,mi,42373,0.2958,10125,13135,9152,7144,2809
क्ष,kṣa,kza,41841,0.2921,9415,13920,9084,6789,2620
नु,nu,nu,41207,0.2876,11282,13124,8813,5827,2148
कु,ku,ku,40713,0.2842,4322,14498,10223,8478,3183
ब,ba,ba,39708,0.2772,5614,15213,9198,7452,2227
भा,bhā,BA,39699,0.2771,3847,13885,9642,9199,3115
णा,ṇā,RA,39359,0.2747,9469,11428,9228,6652,2572
त्वा,tvā,tvA,39058,0.2726,10793,10594,7452,6662,3547
धा,dhā,DA,38614,0.2695,11157,9573,7557,7501,2813
नं,naṃ,naM,38309,0.2674,6811,12794,8729,6948,3021
र्व,rva,rva,38298,0.2673,6802,12176,9297,7096,2913
यु,yu,yu,37912,0.2646,6744,15563,7929,5446,2230
रे,re,re,37689,0.2631,7658,10115,9047,7536,3328
रो,ro,ro,36798,0.2569,9015,9414,9002,7046,2309
त्य,tya,tya,35552,0.2482,6341,12396,7946,6634,2225
वै,vai,vE,35400,0.2471,16792,8796,5152,3082,1574
सि,si,si,34614,0.2416,9149,9679,7927,5698,2161
स्,s,s,34420,0.2403,12630,7835,8325,3703,1924
प्रा,prā,prA,34200,0.2387,10746,9937,6732,4808,1974
ने,ne,ne,34156,0.2384,6748,9805,8321,6509,2768
न्त,nta,nta,34146,0.2383,8963,9689,7907,5598,1984
चा,cā,cA,33954,0.237,5371,12028,8976,5636,1941
ला,lā,lA,33678,0.2351,2531,8571,10527,9254,2790
थ,tha,Ta,33346,0.2328,9886,8624,7059,5748,2023
स्व,sva,sva,32190,0.2247,8577,8806,6604,6217,1981
शा,śā,SA,32055,0.2237,5673,9966,7952,6212,2243
श्च,śca,Sca,31444,0.2195,961,16235,6930,5514,1801
चि,ci,ci,31412,0.2193,4073,10351,8109,6814,2051
नः,naḥ,naH,31236,0.218,6638,11420,6495,5098,1579
भू,bhū,BU,30609,0.2137,5396,10599,6835,5732,2027
लो,lo,lo,30586,0.2135,5392,9702,6945,6042,2498
यं,yaṃ,yaM,30379,0.212,6174,9817,6493,5716,2167
त्त,tta,tta,30252,0.2112,5622,8414,7483,6153,2574
न्ति,nti,nti,29414,0.2053,9247,8597,5789,3664,2109
वृ,vṛ,vf,29373,0.205,7426,9364,6966,4385,1228
धि,dhi,Di,29367,0.205,5181,10798,6333,4634,2402
ती,tī,tI,29200,0.2038,8972,5946,6201,4889,3187
रं,raṃ,raM,28579,0.1995,3321,9606,6547,6509,2593
स्त,sta,sta,28369,0.198,2431,11322,7261,5531,1821
शि,śi,Si,27682,0.1932,4314,8123,6743,6505,1992
शु,śu,Su,27475,0.1918,5840,7018,6262,6232,2117
स्या,syā,syA,26295,0.1835,7203,6425,6065,5100,1499
वी,vī,vI,26135,0.1824,6933,10426,3890,3763,1122
के,ke,ke,25370,0.1771,4412,7633,6030,5062,2231
नी,nī,nI,25233,0.1761,5005,6595,5994,6035,1601
नां,nāṃ,nAM,25108,0.1753,3449,9883,6393,3776,1604
नो,no,no,25015,0.1746,8091,6770,5271,3650,1229
यः,yaḥ,yaH,24747,0.1727,6022,6914,5520,4481,1806
पू,pū,pU,24721,0.1726,5200,6308,5837,5232,2139
षु,ṣu,zu,24673,0.1722,5279,8168,6531,3282,1410
श्,ś,S,24273,0.1694,6768,6758,6891,2689,1158
र्म,rma,rma,23938,0.1671,2508,10620,5367,3544,1891
गा,gā,gA,23878,0.1667,5900,7187,5214,4062,1514
षा,ṣā,zA,23026,0.1607,6375,5233,5195,4766,1453
णि,ṇi,Ri,22907,0.1599,4097,7607,5934,3855,1407
दु,du,du,22410,0.1564,3319,8536,5032,4268,1241
वं,vaṃ,vaM,21610,0.1508,3971,6813,4879,4292,1650
क्षि,kṣi,kzi,21386,0.1493,5932,5145,3974,4739,1594
गु,gu,gu,21327,0.1489,1039,5750,5961,6629,1940
व्य,vya,vya,20317,0.1418,3210,7130,5405,3565,1001
सो,so,so,20162,0.1407,8507,4215,3434,3053,952
ब्र,bra,bra,20147,0.1406,6082,6732,3826,2351,1156
दृ,dṛ,df,19915,0.139,1308,8495,4959,3837,1308
से,se,se,19729,0.1377,3471,7075,3707,4162,1312
र्य,rya,rya,19681,0.1374,4259,6184,4684,3386,1158
न्य,nya,nya,19676,0.1373,3199,6348,4987,3898,1238
कं,kaṃ,kaM,19097,0.1333,1945,3745,4301,6861,2242
रः,raḥ,raH,19078,0.1332,3332,6173,4717,3610,1242
री,rī,rI,18790,0.1312,2853,5074,4858,4561,1435
ह्म,hma,hma,18673,0.1303,6540,5570,3563,1849,1151
श्व,śva,Sva,18672,0.1303,4249,4861,4786,3091,1685
द्य,dya,dya,18508,0.1292,3648,7068,3660,3087,1036
त्रा,trā,trA,18462,0.1289,4833,5614,4008,2935,1066
लि,li,li,18447,0.1288,1281,4323,5523,5616,1702
स्मा,smā,smA,18292,0.1277,7351,4121,4199,1827,792
हे,he,he,18172,0.1268,4178,4880,3659,4020,1432
ख,kha,Ka,18113,0.1264,1998,5117,4167,4557,2263
लं,laṃ,laM,18089,0.1263,1374,5343,4704,4698,1949
रू,rū,rU,17999,0.1256,3511,4830,4228,4079,1348
ले,le,le,17909,0.125,1272,5202,5129,4442,1859
मृ,mṛ,mf,17775,0.1241,4838,4214,3207,4029,1486
त्व,tva,tva,17424,0.1216,3555,6061,3821,3079,900
मो,mo,mo,17367,0.1212,3259,5823,3983,2960,1339
सू,sū,sU,17052,0.119,4175,3992,3192,4310,1376
दी,dī,dI,16951,0.1183,3437,4743,3857,3602,1310
को,ko,ko,16865,0.1177,1306,4688,4790,4601,1468
व्या,vyā,vyA,16808,0.1173,3582,5494,3906,2866,957
ज्ञा,jñā,jYA,16708,0.1166,1865,6831,4226,2856,925
च्छ,ccha,cCa,16354,0.1142,4156,5631,3264,2451,851
हु,hu,hu,16282,0.1136,5725,5274,2807,1695,777
तां,tāṃ,tAM,16195,0.113,2206,6960,3219,2840,967
त्रि,tri,tri,16156,0.1128,4149,3853,3430,3419,1304
क्र,kra,kra,16050,0.112,3154,5065,3749,3281,798
द्वि,dvi,dvi,15958,0.1114,2683,4447,4146,3274,1404
शो,śo,So,15955,0.1114,1722,5232,4346,3531,1123
शे,śe,Se,15865,0.1107,2454,4198,4583,3355,1265
ष्ट,ṣṭa,zwa,15834,0.1105,3169,4207,4029,3355,1071
गृ,gṛ,gf,15336,0.107,5569,3901,3188,1979,698
मू,mū,mU,15247,0.1064,1303,3301,4464,4871,1306
ताः,tāḥ,tAH,15216,0.1062,2000,6255,4191,1867,903
णं,ṇaṃ,RaM,15209,0.1062,2059,4216,3837,3677,1419
पृ,pṛ,pf,15020,0.1048,5521,4150,2604,2050,689
ष्य,ṣya,zya,15000,0.1047,2778,6119,3407,1796,894
वो,vo,vo,14955,0.1044,5118,4141,3102,1744,849
द्र,dra,dra,14915,0.1041,1875,4099,3611,4080,1247
त्य्,ty,ty,14882,0.1039,10547,703,1787,1090,753
णे,ṇe,Re,14821,0.1035,2875,4890,3378,2683,995
यि,yi,yi,14738,0.1029,2734,5352,3278,2413,958
हो,ho,ho,14524,0.1014,8039,2552,1896,1364,673
त्म,tma,tma,14194,0.0991,1447,6126,3129,2901,587
त्या,tyā,tyA,14046,0.098,3799,3043,2809,3279,1111
हं,haṃ,haM,13896,0.097,1737,5137,3122,2863,1037
वः,vaḥ,vaH,13890,0.097,4425,4123,2836,1839,667
जि,ji,ji,13799,0.0963,3483,4490,2874,2159,793
क्त,kta,kta,13523,0.0944,1217,3313,4110,3876,1003
मः,maḥ,maH,13077,0.0913,3087,4053,3026,2336,571
दं,daṃ,daM,13058,0.0911,2563,4524,2653,2411,903
र्या,ryā,ryA,12956,0.0904,2798,3222,3005,2699,1229
ञ्च,ñca,Yca,12946,0.0904,3766,2736,2554,2710,1177
र्त,rta,rta,12917,0.0902,1743,5428,3094,1984,664
श्य,śya,Sya,12908,0.0901,2107,5433,2696,1744,928
पे,pe,pe,12844,0.0897,2319,3091,2776,3591,1065
मं,maṃ,maM,12822,0.0895,2684,4203,2375,2444,1114
स्तु,stu,stu,12789,0.0893,2312,3908,3562,2199,807
ण्ड,ṇḍa,Rqa,12657,0.0883,554,5829,2937,2428,901
र्वा,rvā,rvA,12624,0.0881,3226,4017,2514,1972,890
बा,bā,bA,12612,0.088,1659,5798,3028,1618,509
न्ते,nte,nte,12329,0.0861,3164,4162,2622,1677,704
सी,sī,sI,12318,0.086,4669,3580,2212,1321,536
ग्र,gra,gra,12265,0.0856,2404,3139,3313,2625,778
भिः,bhiḥ,BiH,12258,0.0856,3561,3973,2549,1601,573
गो,go,go,12204,0.0852,2290,2509,3311,2870,1223
ष्ठ,ṣṭha,zWa,12088,0.0844,3771,3697,2328,1507,784
र्ण,rṇa,rRa,11945,0.0834,1425,3416,2635,3132,1337
द्ध,ddha,dDa,11940,0.0833,1463,3445,2961,3052,1005
स्था,sthā,sTA,11866,0.0828,2400,3355,3099,1957,1055
दो,do,do,11738,0.0819,1600,2678,3453,3118,884
शं,śaṃ,SaM,11597,0.0809,2767,4528,1967,1714,621
फ,pha,Pa,11584,0.0809,496,2910,3482,3643,1051
हृ,hṛ,hf,11513,0.0804,1763,3926,2889,2333,602
ऋ,ṛ,f,11494,0.0802,5847,2942,1637,627,441
न्ध,ndha,nDa,11483,0.0802,1199,2979,2785,3503,1014
ही,hī,hI,11462,0.08,3257,3531,2304,1746,623
न्द,nda,nda,11295,0.0788,2209,3097,2800,2406,782
तृ,tṛ,tf,11280,0.0787,4569,2160,2234,1625,686
ग्नि,gni,gni,11198,0.0782,5946,1754,1523,1378,596
षि,ṣi,zi,11168,0.078,2419,3826,2749,1555,618
स्थि,sthi,sTi,11137,0.0777,700,3673,3508,2351,905
सः,saḥ,saH,11044,0.0771,3827,2741,1854,2117,503
शी,śī,SI,11021,0.0769,1480,3041,3032,2446,1018
चै,cai,cE,10963,0.0765,939,4613,2902,1805,701
स्मि,smi,smi,10930,0.0763,2634,3664,2324,1735,573
प्त,pta,pta,10898,0.0761,2218,2554,2545,2726,854
म्य,mya,mya,10881,0.0759,1027,4755,2736,1556,806
णां,ṇāṃ,RAM,10878,0.0759,1021,4737,2719,1627,771
चे,ce,ce,10848,0.0757,1778,3245,2764,2487,571
कि,ki,ki,10801,0.0754,1181,3405,3141,2325,740
प्य,pya,pya,10757,0.0751,1353,3909,2542,2144,807
ङ्ग,ṅga,Nga,10756,0.0751,638,2288,3722,3071,1037
नै,nai,nE,10754,0.0751,1776,3109,2615,2504,747
न्न,nna,nna,10730,0.0749,1903,3370,2835,2078,542
न्द्र,ndra,ndra,10597,0.074,4351,2814,1563,1216,653
कः,kaḥ,kaH,10494,0.0732,1260,2364,2513,3583,772
णो,ṇo,Ro,10451,0.0729,3303,2902,2213,1523,506
र्ष,rṣa,rza,10448,0.0729,1335,5311,2071,1226,505
ध्य,dhya,Dya,10397,0.0726,2258,3383,2163,1826,766
स्वा,svā,svA,10254,0.0716,4928,1332,1761,1596,636
द्वा,dvā,dvA,10174,0.071,3513,2180,2022,1709,750
थि,thi,Ti,10098,0.0705,3396,3327,1730,1137,505
भ्य,bhya,Bya,10072,0.0703,2932,3619,1961,1125,431
द्या,dyā,dyA,10067,0.0703,2412,1983,2668,2228,775
धु,dhu,Du,9882,0.069,1932,2085,2809,2417,637
जी,jī,jI,9838,0.0687,1847,2766,2016,2612,597
भी,bhī,BI,9818,0.0685,797,6675,1087,999,260
र्वे,rve,rve,9703,0.0677,1978,3966,2049,1029,680
त्स,tsa,tsa,9666,0.0675,2621,1637,2112,2630,665
क्षा,kṣā,kzA,9650,0.0674,2005,2038,2614,2264,727
र्थ,rtha,rTa,9618,0.0671,545,3673,2803,1602,985
णः,ṇaḥ,RaH,9504,0.0663,1953,3686,2145,1372,348
त्रे,tre,tre,9394,0.0656,2731,2158,2005,1740,755
किं,kiṃ,kiM,9361,0.0653,824,3432,2354,2021,726
घ,gha,Ga,9355,0.0653,1530,3350,1880,1874,720
भु,bhu,Bu,9285,0.0648,1794,2549,2450,1877,614
णी,ṇī,RI,9253,0.0646,2674,1965,2037,1949,627
ष्टा,ṣṭā,zwA,9108,0.0636,2347,2559,2267,1418,515
श्र,śra,Sra,9085,0.0634,1736,3016,2303,1496,523
बु,bu,bu,9011,0.0629,462,4106,2143,1572,718
व्र,vra,vra,8826,0.0616,2310,2192,2268,1472,584
मां,māṃ,mAM,8817,0.0615,1241,3455,2022,1677,420
यां,yāṃ,yAM,8772,0.0612,1770,2474,1888,1727,911
तिः,tiḥ,tiH,8769,0.0612,2610,2393,1996,1388,379
सौ,sau,sO,8763,0.0612,1789,2632,2091,1686,561
न्या,nyā,nyA,8638,0.0603,1186,2888,2222,1806,536
षां,ṣāṃ,zAM,8522,0.0595,1356,3223,1970,1300,672
भे,bhe,Be,8456,0.059,1621,2264,1974,1887,709
ट,ṭa,wa,8428,0.0588,252,1333,2441,3440,960
ह्य,hya,hya,8381,0.0585,1327,3167,1868,1450,566
श्रु,śru,Sru,8232,0.0575,827,3830,1869,1174,531
सृ,sṛ,sf,8223,0.0574,3147,1989,1703,1099,285
की,kī,kI,8222,0.0574,621,2628,2207,2030,730
ज्य,jya,jya,8219,0.0574,2338,2465,1699,1173,544
ध्या,dhyā,DyA,8190,0.0572,1574,2083,2241,1499,792
त्वं,tvaṃ,tvaM,8187,0.0571,1228,2978,1729,1657,593
मी,mī,mI,8176,0.0571,2696,1779,1905,1280,515
शू,śū,SU,8109,0.0566,2101,2508,1801,1215,481
ली,lī,lI,8098,0.0565,852,1781,2199,2505,759
त्मा,tmā,tmA,8047,0.0562,1427,3602,1710,1021,285
षे,ṣe,ze,8042,0.0561,2115,2393,1944,1142,448
पो,po,po,8021,0.056,2145,2175,1810,1330,558
र्श,rśa,rSa,8016,0.056,681,3145,1960,1685,543
तै,tai,tE,7993,0.0558,844,2349,2520,1685,594
स्म,sma,sma,7972,0.0556,1210,2712,1547,1843,659
भो,bho,Bo,7965,0.0556,919,2527,2194,1730,590
नृ,nṛ,nf,7923,0.0553,1041,3406,1515,1282,679
स्ति,sti,sti,7886,0.055,1455,2475,2150,1398,405
जे,je,je,7806,0.0545,1669,2544,1492,1487,613
न्म,nma,nma,7796,0.0544,572,2610,1945,2015,654
क्ता,ktā,ktA,7791,0.0544,752,2339,2086,1993,621
स्ते,ste,ste,7730,0.054,908,3183,1893,1217,529
स्ता,stā,stA,7727,0.0539,2271,2357,1658,972,467
ज्ञ,jña,jYa,7680,0.0536,3281,2006,1134,875,383
धी,dhī,DI,7664,0.0535,2438,2045,1533,1296,352
पी,pī,pI,7612,0.0531,1139,1753,2310,1762,648
श्चा,ścā,ScA,7602,0.0531,953,3167,1809,1277,395
ब्रा,brā,brA,7560,0.0528,2382,2853,1287,536,502
क्तं,ktaṃ,ktaM,7485,0.0522,583,1867,2100,2272,661
जु,ju,ju,7467,0.0521,6220,503,352,208,184
र्मा,rmā,rmA,7466,0.0521,820,3549,1721,1037,335
द्व,dva,dva,7434,0.0519,745,1344,1984,2639,722
त्रं,traṃ,traM,7390,0.0516,1924,1995,1443,1517,511
भृ,bhṛ,Bf,7350,0.0513,1554,2614,1475,1251,455
र्ध,rdha,rDa,7220,0.0504,1823,2148,1691,1162,396
द्धि,ddhi,dDi,7165,0.05,627,2728,1677,1644,488
खा,khā,KA,7134,0.0498,1328,2194,1770,1414,424
च्य,cya,cya,7084,0.0494,1326,1710,2052,1410,585
ग्रा,grā,grA,7084,0.0494,1600,2178,1385,1329,590
गे,ge,ge,7078,0.0494,453,2279,1874,1849,623
धे,dhe,De,6980,0.0487,2870,1712,1100,963,335
षो,ṣo,zo,6953,0.0485,2318,1433,1457,1275,469
स्प,spa,spa,6863,0.0479,2614,1669,1261,1002,317
तौ,tau,tO,6846,0.0478,1239,2811,1545,882,369
ञ्ज,ñja,Yja,6785,0.0474,1017,1916,1809,1586,456
क्षे,kṣe,kze,6717,0.0469,1332,1963,1658,1136,625
ख्या,khyā,KyA,6691,0.0467,798,2134,1993,1273,491
र्वं,rvaṃ,rvaM,6567,0.0458,974,2336,1356,1346,555
शः,śaḥ,SaH,6560,0.0458,1294,2672,1377,912,304
ड,ḍa,qa,6470,0.0452,1066,1233,1861,1670,638
ऊ,ū,U,6436,0.0449,3291,997,1033,679,436
ष्ट्वा,ṣṭvā,zwvA,6388,0.0446,428,3130,1263,1125,442
न्न्,nn,nn,6285,0.0439,2984,2148,669,379,105
त्यु,tyu,tyu,6269,0.0438,691,2353,1326,1533,364
श्वा,śvā,SvA,6249,0.0436,2473,1535,1122,848,271
क्षु,kṣu,kzu,6242,0.0436,1342,1765,1585,1126,424
प्रि,pri,pri,6200,0.0433,1207,2238,1265,1238,249
स्र,sra,sra,6174,0.0431,1603,1730,1504,926,411
त्प,tpa,tpa,6104,0.0426,294,1482,2136,1687,500
न्तं,ntaṃ,ntaM,6076,0.0424,1081,2365,1123,1065,440
चो,co,co,6071,0.0424,1207,2169,1419,927,349
र्द,rda,rda,6030,0.0421,435,1479,1310,2237,569
श्चि,ści,Sci,5951,0.0415,868,2272,1409,1002,397
र्ग,rga,rga,5942,0.0415,692,1697,1756,1317,479
ध्व,dhva,Dva,5897,0.0412,2708,1473,886,568,260
च्च,cca,cca,5889,0.0411,274,1988,1628,1595,401
न्ता,ntā,ntA,5845,0.0408,1315,1836,1306,1061,326
दुः,duḥ,duH,5811,0.0406,293,3034,1335,826,317
द्रा,drā,drA,5810,0.0406,965,1189,1528,1618,509
थै,thai,TE,5803,0.0405,1561,2065,1270,656,251
त्ये,tye,tye,5747,0.0401,1361,1689,1327,1090,280
द्धा,ddhā,dDA,5721,0.0399,649,2214,1456,993,404
थो,tho,To,5676,0.0396,2106,1567,1093,666,242
त्ता,ttā,ttA,5651,0.0394,758,1375,1575,1604,338
गि,gi,gi,5612,0.0392,694,1494,1614,1398,412
क्षी,kṣī,kzI,5581,0.039,556,923,1847,1838,417
जो,jo,jo,5541,0.0387,1283,1748,1205,966,339
न्ये,nye,nye,5501,0.0384,672,2250,1258,1030,291
शृ,śṛ,Sf,5492,0.0383,961,1559,1322,1174,474
र्ज,rja,rja,5467,0.0382,1192,1489,1444,1020,321
ष्ठा,ṣṭhā,zWA,5432,0.0379,1911,1117,1276,808,320
र्थं,rthaṃ,rTaM,5425,0.0379,191,2220,1554,800,660
र्ह,rha,rha,5412,0.0378,1454,2205,947,455,351
क्ष्य,kṣya,kzya,5408,0.0377,567,2506,1208,877,249
दै,dai,dE,5400,0.0377,896,1687,1653,905,259
राः,rāḥ,rAH,5366,0.0375,704,2273,1400,676,313
कौ,kau,kO,5356,0.0374,295,2981,991,825,263
ष्ण,ṣṇa,zRa,5340,0.0373,1087,1272,1388,1117,476
पं,paṃ,paM,5335,0.0372,856,1586,1203,1136,553
पः,paḥ,paH,5327,0.0372,1347,1839,1058,801,282
थं,thaṃ,TaM,5311,0.0371,582,2794,1069,626,239
ण्य,ṇya,Rya,5305,0.037,1381,1664,1242,711,306
ष्या,ṣyā,zyA,5292,0.0369,1158,2287,1004,547,294
न्ना,nnā,nnA,5281,0.0369,1227,1578,1108,995,371
र्ति,rti,rti,5241,0.0366,536,1361,1596,1298,447
ष्ठि,ṣṭhi,zWi,5231,0.0365,745,2992,716,444,334
ष्टि,ṣṭi,zwi,5157,0.036,1172,985,1291,1251,456
क्,k,k,5154,0.036,1504,1164,1183,1063,240
लः,laḥ,laH,5142,0.0359,393,2027,1286,1207,228
प्रे,pre,pre,5100,0.0356,1405,1853,1009,559,273
क्ति,kti,kti,5020,0.035,724,771,1208,1796,520
त्यं,tyaṃ,tyaM,5013,0.035,872,1973,1018,769,381
म्ब,mba,mba,4995,0.0349,769,1075,1656,1137,356
त्ति,tti,tti,4973,0.0347,808,1246,1518,1033,366
दः,daḥ,daH,4973,0.0347,1296,1236,1001,1092,348
ङ्गा,ṅgā,NgA,4946,0.0345,705,1310,1414,1075,442
लु,lu,lu,4891,0.0341,512,1333,1088,1294,660
श्रे,śre,Sre,4886,0.0341,580,2511,840,645,310
क्रि,kri,kri,4841,0.0338,765,1201,1514,1051,307
ल्प,lpa,lpa,4816,0.0336,771,1176,1555,1038,276
व्यं,vyaṃ,vyaM,4791,0.0334,631,1440,1067,1244,406
भ्रा,bhrā,BrA,4791,0.0334,1046,2332,685,569,159
घा,ghā,GA,4763,0.0332,1157,1649,1155,632,170
न्व,nva,nva,4743,0.0331,1996,1066,933,580,167
सै,sai,sE,4740,0.0331,471,2124,946,941,258
श्री,śrī,SrI,4738,0.0331,318,745,887,1659,1129
च्,c,c,4732,0.033,1612,817,1154,862,287
जः,jaḥ,jaH,4715,0.0329,730,1619,1077,1005,281
न्तः,ntaḥ,ntaH,4705,0.0328,1152,1411,1221,664,256
याः,yāḥ,yAH,4680,0.0327,1093,1477,1149,665,296
ग्ने,gne,gne,4679,0.0327,3787,223,289,220,160
षं,ṣaṃ,zaM,4677,0.0326,966,1262,1153,975,321
क्रा,krā,krA,4656,0.0325,1156,1177,965,1045,313
जं,jaṃ,jaM,4634,0.0323,541,1495,819,1358,421
च्छा,cchā,cCA,4612,0.0322,816,1572,1018,926,278
यै,yai,yE,4596,0.0321,1597,1155,903,709,232
भ्यां,bhyāṃ,ByAM,4578,0.032,1391,1322,967,617,281
थे,the,Te,4571,0.0319,1305,1630,745,683,207
वाः,vāḥ,vAH,4526,0.0316,1466,1628,934,333,165
भ्यो,bhyo,Byo,4491,0.0313,2298,1061,592,375,165
र्णं,rṇaṃ,rRaM,4491,0.0313,207,1334,650,1746,554
त्रो,tro,tro,4489,0.0313,828,1698,1068,637,257
व्,v,v,4489,0.0313,2533,576,838,410,131
ई,ī,I,4403,0.0307,1569,1113,787,651,283
म्भ,mbha,mBa,4368,0.0305,722,980,1170,1094,402
ज्ञे,jñe,jYe,4367,0.0305,946,1022,1149,962,287
प्रो,pro,pro,4357,0.0304,1074,753,970,1145,415
र्प,rpa,rpa,4355,0.0304,1091,871,959,1005,429
दू,dū,dU,4350,0.0304,734,1011,1299,1071,234
त्त्वा,ttvā,ttvA,4349,0.0304,183,1418,889,1159,699
बि,bi,bi,4333,0.0302,887,1016,1128,1007,295
स्मृ,smṛ,smf,4316,0.0301,87,966,1821,1023,419
न्त्र,ntra,ntra,4309,0.0301,1140,725,817,1075,552
धू,dhū,DU,4306,0.0301,772,865,1272,1051,346
न्तु,ntu,ntu,4290,0.0299,1973,1005,723,427,160
बो,bo,bo,4286,0.0299,259,2054,736,542,676
धृ,dhṛ,Df,4285,0.0299,789,2247,565,521,163
भ्या,bhyā,ByA,4271,0.0298,2180,885,649,360,197
नाः,nāḥ,nAH,4266,0.0298,984,1763,911,426,182
त्रै,trai,trE,4241,0.0296,897,1175,939,798,431
बृ,bṛ,bf,4221,0.0295,2621,722,474,269,135
न्द्रि,ndri,ndri,4202,0.0293,867,1396,985,744,208
षः,ṣaḥ,zaH,4141,0.0289,1330,982,822,688,315
न्ती,ntī,ntI,4105,0.0287,1072,1287,905,651,189
हः,haḥ,haH,4104,0.0286,862,1112,1033,849,247
भ्यः,bhyaḥ,ByaH,4103,0.0286,2521,815,444,242,80
र्णा,rṇā,rRA,4097,0.0286,562,1295,1013,865,362
णु,ṇu,Ru,4094,0.0286,856,1190,945,725,377
