Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
bhī	Verb	1	Ā	bhīta			"Past Passive Participle"	"  614"
āp	Verb	1	P.	āpnoti	Third	Sg.	"Present Ind."	"  610"
praviś	Verb	4	P.	praviṣṭa			"Past Passive Participle"	"  608"
gam	Verb	6	Ā	gacchet	Third	Sg.	"Pres. Potential"	"  607"
khyā	Verb	4	P.	khyāta			"Past Passive Participle"	"  601"
prasad	Verb	1	Ā	prasanna			"Past Passive Participle"	"  601"
hṛ	Verb	2	P.	hṛta			"Past Passive Participle"	"  600"
as	Verb	2	P.	santi	Third	Pl.	"Present Ind."	"  590"
vac	Verb	2	P.	vaktum			Infinitive	"  586"
man	Verb	8	P.	manye	First	Sg.	"Present Ind."	"  582"
tuṣ	Verb	4	Ā	tuṣṭa			"Past Passive Participle"	"  577"
grah	Verb	6	Ā	gṛhīta			"Past Passive Participle"	"  575"
bhāvay	Verb	10	Ā	bhāvita			"Past Passive Participle"	"  573"
car	Verb	1	Ā	caret	Third	Sg.	"Pres. Potential"	"  567"
dṛś	Verb	6	P.	paśyati	Third	Sg.	"Present Ind."	"  565"
grah	Verb	6	Ā	grāhya			"Future passive particle"	"  563"
car	Verb	1	Ā	carat			"Present Ind."	"  559"
mad	Verb	3	P.	matta			"Past Passive Participle"	"  557"
samprāp	Verb	5	Ā	samprāpta			"Past Passive Participle"	"  554"
dṛś	Verb	6	P.	paśyāmi	First	Sg.	"Present Ind."	"  553"
āsthā	Verb	1	Ā	āsthāya			Absolutive	"  553"
viśru	Verb	5	Ā	viśruta			"Past Passive Participle"	"  550"
rudh	Verb	6	P.	ruddhvā			Absolutive	"  545"
vac	Verb	2	P.	vakṣyāmi	First	Sg.	"Future Ind."	"  539"
vyavasthā	Verb	1	Ā	vyavasthita			"Past Passive Participle"	"  537"
dru	Verb	1	Ā	druta			"Past Passive Participle"	"  536"
yojay	Verb	10	Ā	yojayet	Third	Sg.	"Pres. Potential"	"  532"
vac	Verb	2	P.	avocat	Third	Sg.	"Aorist Ind. Them."	"  529"
pravac	Verb	2	P.	pravakṣyāmi	First	Sg.	"Future Ind."	"  528"
saṁsthā	Verb	1	Ā	saṃsthita			"Past Passive Participle"	"  528"
saṁkrudh	Verb	4	Ā	saṃkruddha			"Past Passive Participle"	"  528"
svap	Verb	1	Ā	supta			"Past Passive Participle"	"  525"
niśā	Verb	3	Ā	niśita			"Past Passive Participle"	"  523"
yā	Verb	2	Ā	yāta			"Past Passive Participle"	"  521"
prakīrtay	Verb	10	P.	prakīrtita			"Past Passive Participle"	"  517"
dṛś	Verb	6	P.	draṣṭum			Infinitive	"  516"
bhañj	Verb	4	P.	bhagna			"Past Passive Participle"	"  514"
vivarjay	Verb	10	Ā	vivarjita			"Past Passive Participle"	"  514"
ās	Verb	4	P.	āsīna			"Past Passive Participle"	"  513"
atī	Verb	1	P.	atīta			"Past Passive Participle"	"  509"
pravṛt	Verb	1	Ā	pravartate	Third	Sg.	"Present Ind."	"  508"
kṛ	Verb	2	Ā	akarot	Third	Sg.	"Imperfect ind"	"  507"
vad	Verb	1	Ā	udita			"Past Passive Participle"	"  504"
iṣ	Verb	1	P.	icchat			"Present Ind."	"  503"
paś	Verb	4	Ā	apaśyat	Third	Sg.	"Imperfect ind"	"  502"
praviś	Verb	4	P.	praviśya			Absolutive	"  502"
utpad	Verb	4	P.	utpanna			"Past Passive Participle"	"  500"
dhṛ	Verb	4	P.	dhṛta			"Past Passive Participle"	"  499"
āyam	Verb	6	P.	āyata			"Past Passive Participle"	"  497"
śru	Verb	4	P.	śrotum			Infinitive	"  496"
ācar	Verb	1	Ā	ācaret	Third	Sg.	"Pres. Potential"	"  495"
kathay	Verb	10	Ā	kathayati	Third	Sg.	"Present Ind."	"  493"
bandh	Verb	4	P.	baddhvā			Absolutive	"  493"
vṛt	Verb	3	P.	vartamāna			"Present Ind."	"  492"
sev	Verb	4	P.	sevita			"Past Passive Participle"	"  490"
pā	Verb	1	Ā	pīta			"Past Passive Participle"	"  487"
avasthā	Verb	1	Ā	avasthita			"Past Passive Participle"	"  487"
udyam	Verb	6	P.	udyata			"Past Passive Participle"	"  487"
vyadh	Verb	4	Ā	vivyādha	Third	Sg.	"Perfect Ind."	"  486"
āsthā	Verb	1	Ā	āsthita			"Past Passive Participle"	"  483"
praṇam	Verb	1	Ā	praṇamya			Absolutive	"  481"
saṁvṛ	Verb	9	P.	saṃvṛta			"Past Passive Participle"	"  480"
sādhay	Verb	10	Ā	sādhya			"Future passive particle"	"  479"
vid	Verb	6	Ā	vidita			"Past Passive Participle"	"  475"
viśudh	Verb	4	P.	viśuddha			"Past Passive Participle"	"  473"
vid	Verb	6	Ā	viddhi	Second	Sg.	"Pres. Imp."	"  471"
vraj	Verb	1	Ā	vrajet	Third	Sg.	"Pres. Potential"	"  470"
kṛ	Verb	2	Ā	cakruḥ	Third	Pl.	"Perfect Ind."	"  469"
vad	Verb	1	Ā	vadanti	Third	Pl.	"Present Ind."	"  467"
utthā	Verb	1	Ā	utthita			"Past Passive Participle"	"  467"
cyu	Verb	1	P.	cyuta			"Past Passive Participle"	"  465"
pīḍay	Verb	10	Ā	pīḍita			"Past Passive Participle"	"  465"
bhāvay	Verb	10	Ā	bhāvayet	Third	Sg.	"Pres. Potential"	"  465"
jīv	Verb	1	Ā	jīvat			"Present Ind."	"  463"
brū	Verb	2	Ā	abruvan	Third	Pl.	"Imperfect ind"	"  463"
piṣ	Verb	1	P.	piṣṭvā			Absolutive	"  463"
bhūṣay	Verb	10	Ā	bhūṣita			"Past Passive Participle"	"  463"
śak	Verb	4	P.	śakta			"Past Passive Participle"	"  462"
samāsāday	Verb	10	P.	samāsādya			Absolutive	"  460"
jap	Verb	4	Ā	japet	Third	Sg.	"Pres. Potential"	"  457"
kṛ	Verb	2	Ā	kurvanti	Third	Pl.	"Present Ind."	"  456"
dā	Verb	1	Ā	dadāti	Third	Sg.	"Present Ind."	"  454"
upapad	Verb	4	P.	upapanna			"Past Passive Participle"	"  452"
pū	Verb	1	P.	pūta			"Past Passive Participle"	"  449"
car	Verb	1	Ā	carati	Third	Sg.	"Present Ind."	"  448"
chid	Verb	1	P.	cicheda	Third	Sg.	"Perfect Ind."	"  448"
kṛ	Verb	2	Ā	kurvīta	Third	Sg.	"Pres. Potential"	"  446"
sthā	Verb	1	Ā	tiṣṭhat			"Present Ind."	"  444"
iṣ	Verb	1	P.	icchasi	Second	Sg.	"Present Ind."	"  442"
brū	Verb	2	Ā	brūyāt	Third	Sg.	"Pres. Potential"	"  441"
kṛ	Verb	2	Ā	kriyate	Third	Sg.	"Present Passive"	"  438"
sṛj	Verb	2	P.	sṛṣṭa			"Past Passive Participle"	"  438"
dham	Verb	1	Ā	dhmāta			"Past Passive Participle"	"  436"
alaṁkṛ	Verb	8	Ā	alaṃkṛta			"Past Passive Participle"	"  436"
prāp	Verb	1	P.	prāpnoti	Third	Sg.	"Present Ind."	"  433"
vyākhyā	Verb	2	Ā	vyākhyāsyāmaḥ	First	Pl.	"Future Ind."	"  432"
as	Verb	2	P.	āsan	Third	Pl.	"Imperfect ind"	"  429"
śā	Verb	4	P.	śita			"Past Passive Participle"	"  425"
bhāṣ	Verb	1	P.	abhāṣata	Third	Sg.	"Imperfect ind"	"  425"
piṣ	Verb	1	P.	piṣṭa			"Past Passive Participle"	"  424"
gam	Verb	6	Ā	jagmuḥ	Third	Pl.	"Perfect Ind."	"  421"
viśiṣ	Verb	7	P.	viśiṣṭa			"Past Passive Participle"	"  421"
han	Verb	6	P.	jaghāna	Third	Sg.	"Perfect Ind."	"  420"
jan	Verb	4	P.	jajñe	Third	Sg.	"Perfect Ind."	"  419"
āpad	Verb	4	P.	āpanna			"Past Passive Participle"	"  416"
utthā	Verb	1	Ā	utthāya			Absolutive	"  414"
bhū	Verb	1	Ā	abhavan	Third	Pl.	"Imperfect ind"	"  413"
vṛt	Verb	3	P.	vṛtta			"Past Passive Participle"	"  412"
gam	Verb	6	Ā	gacchat			"Present Ind."	"  411"
vad	Verb	1	Ā	vadat			"Present Ind."	"  407"
muc	Verb	6	Ā	mucyate	Third	Sg.	"Present Passive"	"  406"
dhāray	Verb	10	Ā	dhārayet	Third	Sg.	"Pres. Potential"	"  405"
grah	Verb	6	Ā	jagrāha	Third	Sg.	"Perfect Ind."	"  401"
arday	Verb	10	Ā	ardita			"Past Passive Participle"	"  401"
bhū	Verb	1	Ā	bhaviṣyanti	Third	Pl.	"Future Ind."	"  400"
parivṛ	Verb	5	Ā	parivṛta			"Past Passive Participle"	"  397"
prahṛṣ	Verb	4	Ā	prahṛṣṭa			"Past Passive Participle"	"  396"
dham	Verb	1	Ā	dhamet	Third	Sg.	"Pres. Potential"	"  395"
samāgam	Verb	6	P.	samāgata			"Past Passive Participle"	"  394"
vikhyā	Verb	2	P.	vikhyāta			"Past Passive Participle"	"  393"
prativac	Verb	3	Ā	pratyuvāca	Third	Sg.	"Perfect Ind."	"  391"
mṛd	Verb	9	Ā	mardya			"Future passive particle"	"  388"
bhū	Verb	1	Ā	bhavatu	Third	Sg.	"Pres. Imp."	"  387"
pat	Verb	1	Ā	papāta	Third	Sg.	"Perfect Ind."	"  387"
pūjay	Verb	10	Ā	pūjya			"Future passive particle"	"  383"
upasthā	Verb	1	Ā	upasthita			"Past Passive Participle"	"  383"
parikīrtay	Verb	10	P.	parikīrtita			"Past Passive Participle"	"  383"
snā	Verb	2	Ā	snāta			"Past Passive Participle"	"  382"
vimuc	Verb	6	Ā	vimukta			"Past Passive Participle"	"  382"
tyaj	Verb	1	Ā	tyakta			"Past Passive Participle"	"  381"
abhidhā	Verb	3	Ā	abhihita			"Past Passive Participle"	"  381"
nirmā	Verb	2	P.	nirmita			"Past Passive Participle"	"  381"
kīrtay	Verb	10	Ā	kīrtita			"Past Passive Participle"	"  379"
vyadh	Verb	4	Ā	viddha			"Past Passive Participle"	"  378"
pā	Verb	1	Ā	pītvā			Absolutive	"  378"
samman	Verb	8	Ā	saṃmata			"Past Passive Participle"	"  377"
yuj	Verb	6	Ā	yojya			"Future passive particle"	"  373"
sthā	Verb	1	Ā	tasthau	Third	Sg.	"Perfect Ind."	"  373"
jīv	Verb	1	Ā	jīvet	Third	Sg.	"Pres. Potential"	"  372"
samācar	Verb	1	Ā	samācaret	Third	Sg.	"Pres. Potential"	"  372"
iṣ	Verb	1	P.	iṣyate	Third	Sg.	"Present Passive"	"  368"
pravac	Verb	2	P.	provāca	Third	Sg.	"Perfect Ind."	"  368"
ās	Verb	4	P.	āste	Third	Sg.	"Present Ind."	"  367"
labh	Verb	1	P.	labdhvā			Absolutive	"  367"
bhakṣay	Verb	10	Ā	bhakṣayet	Third	Sg.	"Pres. Potential"	"  367"
utsṛj	Verb	6	Ā	utsṛjya			Absolutive	"  366"
vibhūṣay	Verb	10	P.	vibhūṣita			"Past Passive Participle"	"  366"
jāray	Verb	10	Ā	jārayet	Third	Sg.	"Pres. Potential"	"  365"
tyaj	Verb	1	Ā	tyajet	Third	Sg.	"Pres. Potential"	"  363"
ārabh	Verb	1	P.	ārabdha			"Past Passive Participle"	"  361"
kṣip	Verb	6	Ā	kṣipta			"Past Passive Participle"	"  360"
su	Verb	6	P.	suta			"Past Passive Participle"	"  360"
vigam	Verb	6	P.	vigata			"Past Passive Participle"	"  360"
iṣ	Verb	1	P.	icchati	Third	Sg.	"Present Ind."	"  359"
pracch	Verb	1	P.	papraccha	Third	Sg.	"Perfect Ind."	"  359"
vidhā	Verb	3	Ā	vidhīyate	Third	Sg.	"Present Passive"	"  358"
virudh	Verb	7	Ā	viruddha			"Past Passive Participle"	"  358"
brū	Verb	2	Ā	bravīmi	First	Sg.	"Present Ind."	"  357"
vac	Verb	2	P.	vācya			"Future passive particle"	"  356"
udāhṛ	Verb	2	P.	udāhṛta			"Past Passive Participle"	"  356"
īray	Verb	10	Ā	īrita			"Past Passive Participle"	"  355"
ākhyā	Verb	4	P.	ākhyāta			"Past Passive Participle"	"  355"
jīv	Verb	1	Ā	jīvati	Third	Sg.	"Present Ind."	"  354"
vid	Verb	2	Ā	vidyate	Third	Sg.	"Present Passive"	"  354"
dṛś	Verb	6	P.	dadṛśuḥ	Third	Pl.	"Perfect Ind."	"  353"
kup	Verb	4	Ā	kupita			"Past Passive Participle"	"  352"
gam	Verb	6	Ā	gacchanti	Third	Pl.	"Present Ind."	"  352"
jan	Verb	4	P.	jāyante	Third	Pl.	"Present Ind."	"  352"
vid	Verb	6	Ā	viditvā			Absolutive	"  352"
mṛ	Verb	4	Ā	mriyate	Third	Sg.	"Present Passive"	"  349"
varjay	Verb	10	Ā	varjayet	Third	Sg.	"Pres. Potential"	"  348"
bhū	Verb	1	Ā	babhūvuḥ	Third	Pl.	"Perfect Ind."	"  346"
gup	Verb	1	Ā	gupta			"Past Passive Participle"	"  345"
han	Verb	6	P.	hanyāt	Third	Sg.	"Pres. Potential"	"  345"
āp	Verb	1	P.	āpnuyāt	Third	Sg.	"Pres. Potential"	"  344"
ji	Verb	9	P.	jayet	Third	Sg.	"Pres. Potential"	"  344"
prasidh	Verb	4	P.	prasiddha			"Past Passive Participle"	"  344"
jval	Verb	1	Ā	jvalat			"Present Ind."	"  343"
āviś	Verb	6	Ā	āviṣṭa			"Past Passive Participle"	"  342"
vyākhyā	Verb	2	Ā	vyākhyāta			"Past Passive Participle"	"  341"
sthā	Verb	1	Ā	tiṣṭha	Second	Sg.	"Pres. Imp."	"  338"
samāyuj	Verb	7	P.	samāyukta			"Past Passive Participle"	"  338"
brū	Verb	2	Ā	bruvat			"Present Ind."	"  337"
bhuj	Verb	6	P.	bhuktvā			Absolutive	"  337"
niśāmay	Verb	10	Ā	niśamya			Absolutive	"  333"
man	Verb	8	P.	manyate	Third	Sg.	"Present Ind."	"  331"
vac	Verb	2	P.	uktavat			"Past Active Participle"	"  329"
yaj	Verb	2	P.	yajamāna			"Present Ind."	"  328"
hṛ	Verb	2	P.	haret	Third	Sg.	"Pres. Potential"	"  328"
nibudh	Verb	4	P.	nibodha	Second	Sg.	"Pres. Imp."	"  328"
vikṛ	Verb	5	P.	vikṛta			"Past Passive Participle"	"  328"
vid	Verb	6	Ā	vidvas			"Perfect Ind."	"  324"
praśaṁs	Verb	1	Ā	praśasta			"Past Passive Participle"	"  324"
sambhū	Verb	1	Ā	sambhūta			"Past Passive Participle"	"  323"
kathay	Verb	10	Ā	kathyate	Third	Sg.	"Present Passive"	"  322"
lip	Verb	4	Ā	lipta			"Past Passive Participle"	"  322"
lepay	Verb	10	Ā	lepayet	Third	Sg.	"Pres. Potential"	"  321"
prāh	Verb	1	P.	prāhuḥ	Third	Pl.	"Perfect Ind."	"  320"
gam	Verb	6	Ā	gantum			Infinitive	"  319"
mūrchay	Verb	10	P.	mūrchita			"Past Passive Participle"	"  319"
praviś	Verb	4	P.	praviveśa	Third	Sg.	"Perfect Ind."	"  318"
bhuj	Verb	6	P.	bhukta			"Past Passive Participle"	"  316"
coday	Verb	10	Ā	codita			"Past Passive Participle"	"  316"
kṛ	Verb	2	Ā	kṛtavat			"Past Active Participle"	"  315"
bhū	Verb	1	Ā	bhavitā	Third	Sg.	"Future. Ind. Peri."	"  314"
hā	Verb	1	P.	hitvā			Absolutive	"  314"
samṛdh	Verb	4	Ā	samṛddha			"Past Passive Participle"	"  314"
kṛ	Verb	2	Ā	kariṣyāmi	First	Sg.	"Future Ind."	"  313"
gam	Verb	6	Ā	agamat	Third	Sg.	"Aorist Ind. Them."	"  313"
sthāpay	Verb	10	Ā	sthāpayet	Third	Sg.	"Pres. Potential"	"  311"
yā	Verb	2	Ā	yayuḥ	Third	Pl.	"Perfect Ind."	"  310"
man	Verb	8	P.	manyase	Second	Sg.	"Present Ind."	"  310"
marday	Verb	10	Ā	mardita			"Past Passive Participle"	"  310"
prayuj	Verb	7	Ā	prayukta			"Past Passive Participle"	"  310"
kṛ	Verb	2	Ā	kariṣyati	Third	Sg.	"Future Ind."	"  308"
vad	Verb	1	Ā	vada	Second	Sg.	"Pres. Imp."	"  308"
dṛś	Verb	6	P.	dṛśyante	Third	Pl.	"Present Passive"	"  308"
āśri	Verb	1	Ā	āśritya			Absolutive	"  307"
aś	Verb	1	P.	aśnute	Third	Sg.	"Present Ind."	"  305"
guh	Verb	6	P.	gūḍha			"Past Passive Participle"	"  305"
dṛś	Verb	6	P.	paśyanti	Third	Pl.	"Present Ind."	"  303"
sampṛ	Verb	3	P.	sampūrṇa			"Past Passive Participle"	"  303"
pat	Verb	1	Ā	patat			"Present Ind."	"  302"
kṛ	Verb	2	Ā	kriyatām	Third	Sg.	"Pres. Imperative Passive"	"  301"
labh	Verb	1	P.	labhet	Third	Sg.	"Pres. Potential"	"  301"
udi	Verb	4	Ā	udita			"Past Passive Participle"	"  301"
nirji	Verb	1	P.	nirjita			"Past Passive Participle"	"  301"
prayā	Verb	2	Ā	prayayau	Third	Sg.	"Perfect Ind."	"  301"
yā	Verb	2	Ā	yāhi	Second	Sg.	"Pres. Imp."	"  300"
āpat	Verb	1	Ā	āpatat			"Present Ind."	"  300"
nyas	Verb	2	P.	nyasta			"Past Passive Participle"	"  300"
